"","x"
"1971",3693
"1972",4942
"1973",51604
"1974",54977
"1975",55101
"1976",3001
"1977",55670
"1978",51128
"1979",10955
"1980",79754
"1981",2119
"1982",23172
"1983",51780
"1984",6051
"1985",1207
"1986",54700
"1987",51205
"1988",22875
"1989",4763
"1990",1778
"1991",29980
"1992",9553
"1993",54165
"1994",56965
"1995",1306
"1996",1490
"1997",79677
"1998",7486
"1999",3912
"2000",79090
"2001",57157
"2002",112399
"2003",3396
"2004",54739
"2005",80204
"2006",79075
"2007",10006
"2008",3109
"2009",2523
"2010",10592
"2011",794
"2012",2108
"2013",1152
"2014",2907
"2015",51373
"2016",29911
"2017",55186
"2018",5311
"2019",9489
"2020",10730
"2021",1806
"2022",10562
"2023",7126
"2024",80145
"2025",1315
"2026",5707
"2027",10926
"2028",23741
"2029",1829
"2030",4068
"2031",3643
"2032",3707
"2033",7419
"2034",254102
"2035",7412
"2036",81034
"2037",10212
"2038",6400
"2039",3113
"2040",6399
"2041",7049
"2042",29107
"2043",6284
"2044",6035
"2045",23397
"2046",6383
"2047",56942
"2048",374
"2049",5546
"2050",8301
"2051",211
"2052",25983
"2053",80218
"2054",11007
"2055",57205
"2056",23167
"2057",2653
"2058",5692
"2059",79977
"2060",25932
"2061",80143
"2062",3717
"2063",28966
"2064",515
"2065",25975
"2066",5918
"2067",1997
"2068",3161
"2069",8910
"2070",1163
"2071",55359
"2072",58155
"2073",928
"2074",5780
"2075",56521
"2076",4356
"2077",6302
"2078",29105
"2079",85377
"2080",5318
"2081",51284
"2082",10179
"2083",64757
"2084",5265
"2085",63897
"2086",55108
"2087",220
"2088",533
"2089",7086
"2090",55768
"2091",158
"2092",23468
"2093",64788
"2094",26115
"2095",7259
"2096",92689
"2097",6351
"2098",9465
"2099",10609
"2100",826
"2101",2804
"2102",729230
"2103",388677
"2104",7323
"2105",4217
"2106",23341
"2107",3625
"2108",80273
"2109",26589
"2110",9420
"2111",9214
"2112",6557
"2113",2036
"2114",9360
"2115",3636
"2116",91543
"2117",622
"2118",27230
"2119",1380
"2120",25936
"2121",23077
"2122",51755
"2123",56951
"2124",23114
"2125",6136
"2126",2628
"2127",9135
"2128",9475
"2129",24148
"2130",5911
"2131",152559
"2132",6195
"2133",4814
"2134",25788
"2135",372
"2136",3703
"2137",7436
"2138",10654
"2139",10946
"2140",10352
"2141",5768
"2142",161291
"2143",26512
"2144",2350
"2145",10084
